model,seed,macro_f1,accuracy,weighted_f1,balanced_acc,macro_precision,macro_recall,kappa,mcc,top2_acc,top3_acc,mean_entropy,mean_confidence,ece,brier
cnn2d,std,0.020367656056423968,0.04828767730344805,0.037073155071440614,0.010464904988895863,0.03338519206705488,0.010464904988895863,0.04692534700652406,0.04313039171255324,0.036103270381083095,0.02744312038903683,0.13356416262948687,0.03900681622517764,0.013065765075424453,0.05296574955511973
mamba1,42,0.3434540620026001,0.5716704288939052,0.6132120423458245,0.40708637075778653,0.337093790261509,0.40708637075778653,0.48180067549604566,0.48912754988090135,0.7420993227990971,0.8019187358916479,1.2979942560195923,0.5825221538543701,0.04766022800793767,0.5890678763389587
mamba1,43,0.3045177288031305,0.5767494356659142,0.5852807238782571,0.39233213946502965,0.2916023772143119,0.39233213946502965,0.4853433213130599,0.49523309357043666,0.731941309255079,0.8019187358916479,1.3233413696289062,0.5746262669563293,0.03684291205711611,0.5854611992835999
mamba1,44,0.28959916052476237,0.43961625282167044,0.4830070556800344,0.3563970099798952,0.2974454399985277,0.3563970099798952,0.3542522891690951,0.3754299078956801,0.6918735891647856,0.7652370203160271,1.4038832187652588,0.5310026407241821,0.09202151970925233,0.7100304961204529
mamba1,45,0.40417259128556204,0.6867945823927766,0.6768602529978545,0.42809751855709466,0.4021986760096514,0.42809751855709466,0.5967603387924951,0.5984737323578397,0.801354401805869,0.858352144469526,0.3539992868900299,0.8704140782356262,0.18472612879615335,0.49443647265434265
mamba1,46,0.3712561487405952,0.6196388261851016,0.6383327348699005,0.4428904236742469,0.35543748929064156,0.4428904236742469,0.5285235945848002,0.5339399265598179,0.7753950338600452,0.840293453724605,0.8242048621177673,0.730050802230835,0.11351967269962583,0.548447847366333
mamba1,mean,0.34259993827133,0.5788939051918737,0.5993385619543742,0.4053606924868106,0.33675555455492834,0.4053606924868106,0.48933604387109925,0.4984408420529352,0.7485327313769752,0.8135440180586908,1.040684598684311,0.6577231884002686,0.09495409225401705,0.5854887783527374
mamba1,std,0.04709680627372477,0.09049550615401863,0.07323468052297664,0.033524645213357095,0.04532114783682886,0.033524645213357095,0.08859456482293707,0.08138716288093144,0.041948285399312245,0.036493701178185234,0.44621086420140504,0.14061213451809618,0.059215534623818546,0.07935049323864792
mamba2,42,0.3256421283503712,0.5062076749435666,0.5580761929696668,0.40084529097008004,0.32467138165729476,0.40084529097008004,0.4223380981902286,0.43734930578949394,0.6975169300225733,0.781038374717833,1.362070918083191,0.553855299949646,0.06731254564551951,0.657130777835846
mamba2,43,0.3563970262835844,0.613431151241535,0.6368297811084713,0.3981719073670279,0.35470688957689783,0.3981719073670279,0.5214596462455228,0.5274799894563965,0.7443566591422122,0.8120767494356659,1.270558476448059,0.5802038311958313,0.06386653674476303,0.524519145488739
mamba2,44,0.3749896117172044,0.6343115124153499,0.6560495531932192,0.4363614463709661,0.35387276431706455,0.4363614463709661,0.5477968280372771,0.5513631985467851,0.7748306997742663,0.8510158013544018,0.5707827210426331,0.800007164478302,0.16569563726270176,0.551929235458374
mamba2,45,0.34767486134117803,0.5711060948081265,0.6073303552189756,0.4199762804786089,0.33991434022563183,0.4199762804786089,0.4821094487568235,0.4894600485967537,0.7353273137697517,0.8024830699774267,1.1582190990447998,0.6204954981803894,0.051539845335766096,0.5734071135520935
mamba2,46,0.3753877562707125,0.6343115124153499,0.6499528982097975,0.45658265312494273,0.35382143367614416,0.45658265312494273,0.5486612022824475,0.5533490455032603,0.7742663656884876,0.8335214446952596,1.2642794847488403,0.5887230038642883,0.0685840263609558,0.5258547067642212
mamba2,mean,0.35601827679261006,0.5918735891647856,0.6216477561400261,0.4223875156623251,0.34539736189060666,0.4223875156623251,0.50447304470246,0.5118003175785378,0.7452595936794582,0.8160270880361175,1.1251821398735047,0.6286569595336914,0.08339971826994123,0.5665681958198547
mamba2,std,0.020781931520137895,0.05439811766859586,0.04019169753592962,0.024601094236084524,0.013125304955412828,0.024601094236084524,0.053301894823086664,0.04893723333888635,0.03199480639921095,0.02717314038939838,0.31821722144636444,0.09869804572994328,0.046496012776716326,0.0545168828035141
random_forest,42,0.306939952754962,0.6851015801354402,0.6180152408956334,0.30076667826533665,0.42636318491144726,0.30076667826533665,0.5600536064199562,0.5764266367000769,,,,,,
random_forest,43,0.3272168337198063,0.6862302483069977,0.6194689269388997,0.31573439313278434,0.43002113809084436,0.31573439313278434,0.5611999713176978,0.5779760004476097,,,,,,
random_forest,44,0.32726938216531765,0.6856659142212189,0.6199423134712088,0.3141974307671929,0.43444030418481205,0.3141974307671929,0.5602532966389141,0.5771874001708412,,,,,,
random_forest,45,0.3330913412523857,0.6867945823927766,0.6229822299912934,0.31729474654448353,0.43883079254134216,0.31729474654448353,0.5619415752838588,0.5786223160814337,,,,,,
random_forest,46,0.31856362302390395,0.6862302483069977,0.6217363971141273,0.3059438746848217,0.4290472280398398,0.3059438746848217,0.5615229772388328,0.5780453846518626,,,,,,
random_forest,mean,0.32261622658327516,0.6860045146726862,0.6204290216822325,0.31078742467892384,0.4317405295536571,0.31078742467892384,0.560994285379852,0.5776515476103649,,,,,,
random_forest,std,0.010182271688774733,0.0006434398561507698,0.001950199199696522,0.007111983047967383,0.004916467932911578,0.007111983047967383,0.00081442021843775,0.0008541967377355211,,,,,,
svm_rbf,42,0.39940494814645855,0.7217832957110609,0.7042961244086566,0.41422476573423367,0.40003425747780924,0.41422476573423367,0.6389191995344286,0.6399332199666162,,,,,,
svm_rbf,43,0.39940494814645855,0.7217832957110609,0.7042961244086566,0.41422476573423367,0.40003425747780924,0.41422476573423367,0.6389191995344286,0.6399332199666162,,,,,,
svm_rbf,44,0.39940494814645855,0.7217832957110609,0.7042961244086566,0.41422476573423367,0.40003425747780924,0.41422476573423367,0.6389191995344286,0.6399332199666162,,,,,,
svm_rbf,45,0.39940494814645855,0.7217832957110609,0.7042961244086566,0.41422476573423367,0.40003425747780924,0.41422476573423367,0.6389191995344286,0.6399332199666162,,,,,,
svm_rbf,46,0.39940494814645855,0.7217832957110609,0.7042961244086566,0.41422476573423367,0.40003425747780924,0.41422476573423367,0.6389191995344286,0.6399332199666162,,,,,,
svm_rbf,mean,0.39940494814645855,0.7217832957110609,0.7042961244086566,0.4142247657342336,0.40003425747780924,0.4142247657342336,0.6389191995344286,0.6399332199666162,,,,,,
